Country,Year,any_all,any_married,any_modern_all,any_active_unmarried,any_modern_married,any_modern_active_unmarried
Suriname,1988 [YR1988],..,..,..,..,..,..
Suriname,1989 [YR1989],..,..,..,..,..,..
Suriname,1990 [YR1990],..,..,..,..,..,..
Suriname,1991 [YR1991],..,..,..,..,..,..
Suriname,1992 [YR1992],48,..,46.6,..,..,..
Suriname,1993 [YR1993],..,..,..,..,..,..
Suriname,1994 [YR1994],..,..,..,..,..,..
Suriname,1995 [YR1995],..,..,..,..,..,..
Suriname,1996 [YR1996],..,..,..,..,..,..
Suriname,1997 [YR1997],..,..,..,..,..,..
Suriname,1998 [YR1998],..,..,..,..,..,..
Suriname,1999 [YR1999],..,..,..,..,..,..
Suriname,2000 [YR2000],28.6,42.1,27.7,..,40.7,..
Suriname,2001 [YR2001],..,..,..,..,..,..
Suriname,2002 [YR2002],..,..,..,..,..,..
Suriname,2003 [YR2003],..,..,..,..,..,..
Suriname,2004 [YR2004],..,..,..,..,..,..
Suriname,2005 [YR2005],..,..,..,..,..,..
Suriname,2006 [YR2006],33.7,45.6,33.4,..,45,..
Suriname,2007 [YR2007],..,..,..,..,..,..
Suriname,2008 [YR2008],..,..,..,..,..,..
Suriname,2009 [YR2009],..,..,..,..,..,..
Suriname,2010 [YR2010],36,47.6,35.7,..,47.2,..
Suriname,2011 [YR2011],..,..,..,..,..,..
Suriname,2012 [YR2012],..,..,..,..,..,..
Suriname,2013 [YR2013],..,..,..,..,..,..
Suriname,2014 [YR2014],..,..,..,..,..,..
Suriname,2015 [YR2015],..,..,..,..,..,..
Suriname,2016 [YR2016],..,..,..,..,..,..
Suriname,2017 [YR2017],..,..,..,..,..,..
Suriname,2018 [YR2018],30.7,39.1,30.4,..,38.7,..
Suriname,2019 [YR2019],..,..,..,..,..,..
Suriname,2020 [YR2020],..,..,..,..,..,..
Suriname,2021 [YR2021],..,..,..,..,..,..
Suriname,2022 [YR2022],..,..,..,..,..,..
Suriname,2023 [YR2023],..,..,..,..,..,..
Uruguay,1970 [YR1970],..,..,..,..,..,..
Uruguay,1971 [YR1971],..,..,..,..,..,..
Uruguay,1972 [YR1972],..,..,..,..,..,..
Uruguay,1973 [YR1973],..,..,..,..,..,..
Uruguay,1974 [YR1974],..,..,..,..,..,..
Uruguay,1975 [YR1975],..,..,..,..,..,..
Uruguay,1976 [YR1976],..,..,..,..,..,..
Uruguay,1977 [YR1977],..,..,..,..,..,..
Uruguay,1978 [YR1978],..,..,..,..,..,..
Uruguay,1979 [YR1979],..,..,..,..,..,..
Uruguay,1980 [YR1980],..,..,..,..,..,..
Uruguay,1981 [YR1981],..,..,..,..,..,..
Uruguay,1982 [YR1982],..,..,..,..,..,..
Uruguay,1983 [YR1983],..,..,..,..,..,..
Uruguay,1984 [YR1984],..,..,..,..,..,..
Uruguay,1985 [YR1985],..,..,..,..,..,..
Uruguay,1986 [YR1986],..,83,..,..,72.4,..
Uruguay,1987 [YR1987],..,..,..,..,..,..
Uruguay,1988 [YR1988],..,..,..,..,..,..
Uruguay,1989 [YR1989],..,..,..,..,..,..
Uruguay,1990 [YR1990],..,..,..,..,..,..
Uruguay,1991 [YR1991],..,..,..,..,..,..
Uruguay,1992 [YR1992],..,..,..,..,..,..
Uruguay,1993 [YR1993],..,..,..,..,..,..
Uruguay,1994 [YR1994],..,..,..,..,..,..
Uruguay,1995 [YR1995],..,..,..,..,..,..
Uruguay,1996 [YR1996],..,..,..,..,..,..
Uruguay,1997 [YR1997],..,..,..,..,..,..
Uruguay,1998 [YR1998],..,..,..,..,..,..
Uruguay,1999 [YR1999],..,..,..,..,..,..
Uruguay,2000 [YR2000],..,..,..,..,..,..
Uruguay,2001 [YR2001],..,..,..,..,..,..
Uruguay,2002 [YR2002],..,..,..,..,..,..
Uruguay,2003 [YR2003],..,..,..,..,..,..
Uruguay,2004 [YR2004],..,77,..,..,74.8,..
Uruguay,2005 [YR2005],..,..,..,..,..,..
Uruguay,2006 [YR2006],..,..,..,..,..,..
Uruguay,2007 [YR2007],..,..,..,..,..,..
Uruguay,2008 [YR2008],..,..,..,..,..,..
Uruguay,2009 [YR2009],..,..,..,..,..,..
Uruguay,2010 [YR2010],..,..,..,..,..,..
Uruguay,2011 [YR2011],..,..,..,..,..,..
Uruguay,2012 [YR2012],..,..,..,..,..,..
Uruguay,2013 [YR2013],..,..,..,..,..,..
Uruguay,2014 [YR2014],..,..,..,..,..,..
Uruguay,2015 [YR2015],76.8,..,75.8,..,..,..
Uruguay,2016 [YR2016],..,..,..,..,..,..
Uruguay,2017 [YR2017],..,..,..,..,..,..
Uruguay,2018 [YR2018],..,..,..,..,..,..
Uruguay,2019 [YR2019],..,..,..,..,..,..
Uruguay,2020 [YR2020],..,..,..,..,..,..
Uruguay,2021 [YR2021],..,..,..,..,..,..
Uruguay,2022 [YR2022],..,..,..,..,..,..
Uruguay,2023 [YR2023],..,..,..,..,..,..
Venezula,1970 [YR1970],..,..,..,..,..,..
Venezula,1971 [YR1971],..,..,..,..,..,..
Venezula,1972 [YR1972],..,..,..,..,..,..
Venezula,1973 [YR1973],..,..,..,..,..,..
Venezula,1974 [YR1974],..,..,..,..,..,..
Venezula,1975 [YR1975],..,..,..,..,..,..
Venezula,1976 [YR1976],..,..,..,..,..,..
Venezula,1977 [YR1977],..,50,..,..,38,..
Venezula,1978 [YR1978],..,..,..,..,..,..
Venezula,1979 [YR1979],..,..,..,..,..,..
Venezula,1980 [YR1980],..,..,..,..,..,..
Venezula,1981 [YR1981],..,..,..,..,..,..
Venezula,1982 [YR1982],..,..,..,..,..,..
Venezula,1983 [YR1983],..,..,..,..,..,..
Venezula,1984 [YR1984],..,..,..,..,..,..
Venezula,1985 [YR1985],..,..,..,..,..,..
Venezula,1986 [YR1986],..,..,..,..,..,..
Venezula,1987 [YR1987],..,..,..,..,..,..
Venezula,1988 [YR1988],..,..,..,..,..,..
Venezula,1989 [YR1989],..,..,..,..,..,..
Venezula,1990 [YR1990],..,..,..,..,..,..
Venezula,1991 [YR1991],..,..,..,..,..,..
Venezula,1992 [YR1992],..,..,..,..,..,..
Venezula,1993 [YR1993],..,58,..,..,54.5,..
Venezula,1994 [YR1994],..,..,..,..,..,..
Venezula,1995 [YR1995],..,..,..,..,..,..
Venezula,1996 [YR1996],..,..,..,..,..,..
Venezula,1997 [YR1997],..,..,..,..,..,..
Venezula,1998 [YR1998],47.3,70.3,41.5,..,61.7,..
Venezula,1999 [YR1999],..,..,..,..,..,..
Venezula,2000 [YR2000],..,..,..,..,..,..
Venezula,2001 [YR2001],..,..,..,..,..,..
Venezula,2002 [YR2002],..,..,..,..,..,..
Venezula,2003 [YR2003],..,..,..,..,..,..
Venezula,2004 [YR2004],..,..,..,..,..,..
Venezula,2005 [YR2005],..,..,..,..,..,..
Venezula,2006 [YR2006],..,..,..,..,..,..
Venezula,2007 [YR2007],..,..,..,..,..,..
Venezula,2008 [YR2008],..,..,..,..,..,..
Venezula,2009 [YR2009],..,..,..,..,..,..
Venezula,2010 [YR2010],..,75,..,..,..,..
Venezula,2011 [YR2011],..,..,..,..,..,..
Venezula,2012 [YR2012],..,..,..,..,..,..
Venezula,2013 [YR2013],..,..,..,..,..,..
Venezula,2014 [YR2014],..,..,..,..,..,..
Venezula,2015 [YR2015],..,..,..,..,..,..
Venezula,2016 [YR2016],..,..,..,..,..,..
Venezula,2017 [YR2017],..,..,..,..,..,..
Venezula,2018 [YR2018],..,..,..,..,..,..
Venezula,2019 [YR2019],..,..,..,..,..,..
Venezula,2020 [YR2020],..,..,..,..,..,..
Venezula,2021 [YR2021],..,..,..,..,..,..
Venezula,2022 [YR2022],..,..,..,..,..,..
Venezula,2023 [YR2023],..,..,..,..,..,..
